event_id,event_url,event_brand,event_year,event_country,event_date,participants,foreign_participants,new,returning,churn
1951,/events/details/1951/,Spring Tournament,2023,Canada,2023-03-31,27,1,27,0,NA
2081,/events/details/2081/,Spring Tournament,2024,Canada,2024-03-29,29,2,19,10,0.66
1469,/events/details/1469/,Spring Ural Cup,2019,Russia,2019-05-18,51,1,51,0,NA
1483,/events/details/1483/,Springfield Historical Fencing Guild 1st Annual Hema Tournament,2019,United States,2019-06-02,9,0,9,0,NA
2071,/events/details/2071/,Springsteel,2024,United States,2024-05-11,50,9,50,0,NA
1313,/events/details/1313/,St Hera Event,2018,Australia,2018-08-25,36,0,36,0,NA
1847,/events/details/1847/,Steel & Chill .,2023,Croatia,2023-07-01,25,16,25,0,NA
2124,/events/details/2124/,Steel & Chill .,2024,Croatia,2024-07-20,52,41,38,14,0.73
1353,/events/details/1353/,Steel City Open,2018,United States,2018-10-12,67,3,67,0,NA
1508,/events/details/1508/,Steel City Open,2019,United States,2019-08-31,56,3,31,25,0.55
1659,/events/details/1659/,Steel City Open,2021,United States,2021-09-03,81,3,56,25,0.69
1893,/events/details/1893/,Steel Jam Spring Bash,2023,United States,2023-05-13,30,0,30,0,NA
1892,/events/details/1892/,Steel Jam Summer Bash,2023,United States,2023-08-26,17,0,17,0,NA
1723,/events/details/1723/,Steve Hodgson Memorial Tournament,2022,New Zealand,2022-09-03,34,5,34,0,NA
1898,/events/details/1898/,Steve Hodgson Memorial Tournament,2023,New Zealand,2023-09-30,28,3,13,15,0.46
1530,/events/details/1530/,Stick Competition,2019,Canada,2019-08-02,8,1,8,0,NA
30,/events/details/30/,Study In Steel,2016,United States,2016-04-30,46,0,46,0,NA
114,/events/details/114/,Study In Steel,2017,United States,2017-04-29,70,1,44,26,0.63
1270,/events/details/1270/,Study In Steel,2018,United States,2018-04-27,53,1,27,26,0.51
2070,/events/details/2070/,Summer Fechten,2023,United States,2023-08-05,32,0,32,0,NA
2112,/events/details/2112/,Summer Longsword And Rapier Open,2024,United States,2024-06-29,24,0,24,0,NA
2149,/events/details/2149/,Summer Stab,2024,Canada,2024-08-25,19,0,19,0,NA
1586,/events/details/1586/,Summer Sword Clash,2020,Australia,2020-02-01,35,1,35,0,NA
1484,/events/details/1484/,Summer Swordfest,2019,United States,2019-06-02,10,0,10,0,NA
1949,/events/details/1949/,Summer Tournament,2022,Canada,2022-07-29,11,0,11,0,NA
1952,/events/details/1952/,Summer Tournament,2023,Canada,2023-06-30,20,0,16,4,0.8
2142,/events/details/2142/,Summer Tournament,2024,Canada,2024-06-29,18,0,10,8,0.56
37,/events/details/37/,Sweden Open,2016,Sweden,2016-06-17,60,26,60,0,NA
129,/events/details/129/,Sweden Open,2017,Sweden,2017-06-09,76,29,45,31,0.59
1737,/events/details/1737/,Swedish Championship,2022,Sweden,2022-07-02,51,0,51,0,NA
42,/events/details/42/,Swedish Championships,2016,Sweden,2016-09-02,56,0,56,0,NA
1302,/events/details/1302/,Swedish Championships,2018,Sweden,2018-07-06,53,1,30,23,0.57
1535,/events/details/1535/,Swedish Championships,2019,Sweden,2019-10-04,41,1,21,20,0.51
1883,/events/details/1883/,Swedish Championships,2023,Sweden,2023-06-30,30,0,22,8,0.73
2104,/events/details/2104/,Swedish Championships,2024,Sweden,2024-06-06,36,0,20,16,0.56
139,/events/details/139/,Swedish Championships (Finals),2017,Sweden,2017-07-01,19,0,19,0,NA
87,/events/details/87/,Swedish Championships (Qualifiers),2017,Sweden,2017-02-25,52,1,52,0,NA
1617,/events/details/1617/,Swiss Bears Cup,2020,Switzerland,2020-10-03,46,16,46,0,NA
1626,/events/details/1626/,Swiss Bears Cup,2021,Switzerland,2021-10-02,59,35,36,23,0.61
1959,/events/details/1959/,Swiss Bears Cup,2023,Switzerland,2023-10-07,77,42,59,18,0.77
163,/events/details/163/,Swiss Gathering,2017,Switzerland,2017-09-23,33,5,33,0,NA
1362,/events/details/1362/,Swiss Gathering,2018,Switzerland,2018-10-27,51,6,34,17,0.67
1536,/events/details/1536/,Swiss Gathering,2019,Switzerland,2019-10-18,46,14,27,19,0.59
1342,/events/details/1342/,Sword & Buckler Open,2018,Australia,2018-09-23,8,0,8,0,NA
149,/events/details/149/,Sword Fight ,2017,Australia,2017-07-29,42,0,42,0,NA
1312,/events/details/1312/,Sword Fight ,2018,Australia,2018-07-28,42,1,18,24,0.43
1500,/events/details/1500/,Sword Fight ,2019,Australia,2019-07-27,44,0,18,26,0.41
2109,/events/details/2109/,Sword Fight ,2024,Australia,2024-06-29,31,0,23,8,0.74
2134,/events/details/2134/,Sword Quench,2024,United States,2024-08-10,29,0,29,0,NA
43,/events/details/43/,Swordfish,2011,Sweden,2011-11-04,44,28,44,0,NA
46,/events/details/46/,Swordfish,2012,Sweden,2012-11-02,124,73,95,29,0.77
47,/events/details/47/,Swordfish,2013,Sweden,2013-10-31,113,70,52,61,0.46
12,/events/details/12/,Swordfish,2014,Sweden,2014-10-31,104,66,62,42,0.6
2,/events/details/2/,Swordfish,2015,Sweden,2015-10-30,136,99,83,53,0.61
48,/events/details/48/,Swordfish,2016,Sweden,2016-11-04,137,109,77,60,0.56
176,/events/details/176/,Swordfish,2017,Sweden,2017-11-03,143,108,89,54,0.62
1356,/events/details/1356/,Swordfish,2018,Sweden,2018-11-02,110,84,58,52,0.53
1619,/events/details/1619/,Swordfish,2019,Sweden,2019-11-01,116,89,66,50,0.57
1903,/events/details/1903/,Swordmasters Cup,2023,Poland,2023-10-07,32,2,32,0,NA
2103,/events/details/2103/,Swordmasters Cup,2024,Poland,2024-05-18,33,6,23,10,0.7
68,/events/details/68/,Swordplay Australia,2016,Australia,2016-09-01,54,2,54,0,NA
162,/events/details/162/,Swordplay Australia,2017,Australia,2017-09-09,80,3,47,33,0.59
1346,/events/details/1346/,Swordplay Australia,2018,Australia,2018-09-06,59,1,24,35,0.41
1653,/events/details/1653/,Swordplay Australia,2021,Australia,2021-09-26,32,0,16,16,0.5
1762,/events/details/1762/,Swordplay Australia,2022,Australia,2022-09-17,38,0,22,16,0.58
1917,/events/details/1917/,Swordplay Australia,2023,Australia,2023-09-22,41,0,26,15,0.63
1210,/events/details/1210/,Swordplay Serbia,2017,Serbia,2017-12-16,40,12,40,0,NA
1396,/events/details/1396/,Swordplay Serbia,2018,Serbia,2018-11-30,54,31,29,25,0.54
1576,/events/details/1576/,Swordplay Serbia,2019,Serbia,2019-12-06,46,24,21,25,0.46
1795,/events/details/1795/,Swordplay Serbia,2022,Serbia,2022-11-25,78,38,61,17,0.78
1969,/events/details/1969/,Swordplay Serbia,2023,Serbia,2023-12-02,81,45,43,38,0.53
