event_id,event_brand,event_year,event_name,event_date,event_country,event_city,event_url
1935,Icebreaker Open,2023,Icebreaker Open 2023,2023-04-21,United States of America,Minnesota,/events/details/1935/
1825,Wolf Call Ii,2023,Wolf Call Ii 2023,2023-04-15,United Kingdom,North Hykeham,/events/details/1825/
1791,Prazsky Argument,2023,Prazsky Argument 2023,2023-04-15,Czechia,Prague,/events/details/1791/
1840,Arsenal Assault Of Arms,2023,Arsenal Assault Of Arms 2023,2023-04-15,United States of America,Massachusetts,/events/details/1840/
1869,Adies Knight,2023,Ladies Knight 2023,2023-04-15,United States of America,New Jersey,/events/details/1869/
1823,Ostravska Cepel,2023,Ostravska Cepel 2023,2023-04-15,Czechia,Ostrava,/events/details/1823/
1877,Hema Union Sword&Buckler,2023,2023 Hema Union Sword&Buckler,2023-04-09,Taiwan,New Taipei City,/events/details/1877/
1807,Tournament Of Knightly Arts,2023,Tournament Of Knightly Arts 2023,2023-04-08,United States of America,Missouri,/events/details/1807/
1876,Egend Of The Lake Open,2023,Legend Of The Lake Open 2023,2023-04-08,United States of America,Vermont,/events/details/1876/
1775,Krkavci Jarni Fechtik,2023,Krkavci Jarni Fechtik 2023,2023-04-01,Czechia,Prague,/events/details/1775/
1951,Spring Tournament,2023,Spring Tournament 2023,2023-03-31,Canada,British Columbia,/events/details/1951/
1815,Ontpellier Hema Tournament,2023,Montpellier Hema Tournament 12,2023-03-25,France,Montpellier,/events/details/1815/
1866,South East Arc Fencing Open,2023,South East Arc Fencing Open 2023,2023-03-25,United States of America,Georgia,/events/details/1866/
1872,Torneo Cidade De Naron De Esgrima Historica,2023,X Torneo Cidade De Naron De Esgrima Historica 2023,2023-03-25,Spain,Galicia,/events/details/1872/
1860,Hema Tournament,2023,Hema Tournament,2023-03-25,Czechia,Pardubice,/events/details/1860/
1810,Ides Of March,2023,Ides Of March 2023,2023-03-25,Australia,Victoria,/events/details/1810/
1800,Hema Peru Open,2023,Hema Peru Open 2023,2023-03-18,Peru,Lima,/events/details/1800/
